Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
00730505,93.0,11.9,43.3,19.8,2015,1.7
02810100,93.2,11.0,43.5,23.0,2015,2.8
00160001,95.5,7.8,28.8,8.0,2015,0.3
07800035,95.9,7.2,27.1,6.8,2015,0.8
01280100,94.3,9.7,40.4,16.3,2015,0.5
04750505,95.1,8.5,35.5,12.2,2015,3.8
03480053,94.3,9.3,37.9,15.9,2015,2.1
03480145,96.4,6.1,21.6,7.9,2015,0.0
02390030,95.6,7.7,29.6,7.8,2015,0.4
00520405,95.0,8.7,32.7,13.6,2015,1.8
00560001,93.6,9.7,35.1,17.2,2015,0.0
03470060,96.9,5.4,18.0,3.1,2015,0.0
00440415,94.9,9.0,35.0,15.6,2015,1.7
00350183,92.9,12.0,48.4,24.6,2015,4.2
00560005,95.9,7.1,24.6,6.0,2015,0.5
00950320,92.3,13.2,51.2,26.9,2015,3.1
02120007,95.4,8.0,27.9,7.4,2015,0.6
02430065,96.9,5.4,17.7,2.9,2015,0.3
03430515,91.0,14.7,51.5,28.7,2015,6.1
02810155,95.1,8.3,33.7,13.7,2015,2.4
00570003,93.1,10.5,46.7,21.3,2015,0.0
00200050,94.9,8.9,35.3,11.5,2015,0.3
00970315,92.8,11.7,48.4,28.2,2015,0.6
02390012,96.0,6.9,20.7,4.5,2015,0.0
02480014,96.7,5.9,20.5,5.3,2015,2.2
02040305,95.9,7.3,25.6,6.1,2015,0.0
03230505,94.7,9.2,36.6,10.8,2015,0.2
06850005,96.3,6.2,20.7,1.7,2015,0.0
01140035,94.0,8.7,33.9,20.2,2015,3.6
00570025,94.7,9.0,37.8,14.2,2015,0.4
01850310,95.8,7.4,26.0,8.3,2015,0.0
02920020,95.8,7.2,29.3,6.0,2015,0.0
01100030,96.6,6.0,17.6,2.8,2015,0.0
03360110,94.4,9.8,38.1,13.1,2015,0.7
01370605,86.4,20.9,72.6,52.7,2015,4.2
01600085,88.2,19.1,60.9,52.2,2015,0.0
00560505,95.4,8.1,25.2,10.9,2015,0.1
01110010,96.2,6.6,23.5,5.3,2015,0.0
01490531,92.4,13.0,42.7,23.2,2015,2.9
00200315,94.3,9.9,36.4,14.6,2015,0.1
06450505,91.0,15.2,51.3,29.7,2015,3.4
03480220,95.5,7.8,27.6,8.9,2015,2.1
01070010,94.5,9.7,42.9,14.3,2015,0.4
01700045,94.9,8.8,32.5,11.6,2015,0.3
01070042,95.7,7.6,29.9,6.3,2015,1.6
04630205,95.7,7.6,30.3,9.3,2015,3.2
01650505,93.7,10.7,30.8,18.1,2015,5.9
06580010,96.2,6.6,25.5,5.4,2015,0.9
07670505,93.9,10.3,40.6,19.5,2015,10.8
00140010,95.8,7.4,25.7,6.5,2015,0.2
04560050,96.5,6.2,19.7,6.6,2015,1.6
00350543,36.6,#####,88.7,87.8,2015,32.0
00570505,90.5,15.2,49.4,33.3,2015,11.8
07350005,95.5,7.6,30.4,9.1,2015,0.8
